"age","mean.lifespan"
"2",0.05,6.62166666666667
"3",0.15,5.72571428571429
"4",0.25,5.62571428571429
"5",0.35,5.72642857142857
"6",0.45,5.62642857142857
"7",0.55,5.05833333333333
"8",0.65,4.4987
"9",0.75,4.3987
"10",0.85,4.174
"11",0.95,3.753
"12",1.05,4.09825
"13",1.15,4.36627272727273
"14",1.25,4.7007
"15",1.35,4.14369230769231
"16",1.45,4.04369230769231
"17",1.55,3.94369230769231
"18",1.65,4.55245454545455
"19",1.75,5.9705
"20",1.85,5.8705
"21",1.95,5.71408333333333
"22",2.05,5.98406666666667
"23",2.15,5.8433125
"24",2.25,5.7433125
"25",2.35,5.75505882352941
"26",2.45,5.65505882352941
"27",2.55,5.55505882352941
"28",2.65,5.4665
"29",2.75,5.13705263157895
"30",2.85,4.8785
"31",2.95,4.7785
"32",3.05,5.32342857142857
"33",3.15,5.22342857142857
"34",3.25,5.12342857142857
"35",3.35,5.02342857142857
"36",3.45,4.92342857142857
"37",3.55,4.82342857142857
"38",3.65,7.37130434782609
"39",3.75,9.57152
"40",3.85,10.2739166666667
"41",3.95,9.97426923076923
"42",4.05,10.40892
"43",4.15,11.1217333333333
"44",4.25,11.7232903225806
"45",4.35,11.57440625
"46",4.45,11.47440625
"47",4.55,11.39775
"48",4.65,11.29775
"49",4.75,10.42025
"50",4.85,10.32025
"51",4.95,9.95591891891892
"52",5.05,10.1968611111111
"53",5.15,10.1047777777778
"54",5.25,9.74435135135135
"55",5.35,9.97497297297297
"56",5.45,10.8966666666667
"57",5.55,10.581
"58",5.65,10.2011025641026
"59",5.75,9.85609756097561
"60",5.85,9.56585714285714
"61",5.95,9.46585714285714
"62",6.05,9.04511363636364
"63",6.15,8.50508510638298
"64",6.25,8.40508510638298
"65",6.35,8.17291666666667
"66",6.45,8.03781632653061
"67",6.55,7.95880392156863
"68",6.65,7.72530769230769
"69",6.75,7.62530769230769
"70",6.85,7.30514814814815
"71",6.95,6.94277192982456
"72",7.05,7.0946
"73",7.15,6.93576785714286
"74",7.25,6.96081818181818
"75",7.35,6.70712280701754
"76",7.45,6.89870909090909
"77",7.55,6.68817857142857
"78",7.65,6.8462962962963
"79",7.75,6.73158181818182
"80",7.85,6.63158181818182
"81",7.95,6.65309259259259
"82",8.05,6.61972222222222
"83",8.15,6.45598181818182
"84",8.25,6.51561111111111
"85",8.35,7.70515555555555
"86",8.45,7.852
"87",8.55,7.752
"88",8.65,7.37858695652174
"89",8.75,7.441
"90",8.85,8.26285
"91",8.95,8.37238461538462
"92",9.05,7.88970731707317
"93",9.15,7.984575
"94",9.25,7.884575
"95",9.35,7.3656976744186
"96",9.45,6.9766
"97",9.55,6.8766
"98",9.65,6.76706521739131
"99",9.75,6.23658
"100",9.85,6.42060416666667
"101",9.95,6.35577083333333
"102",10.05,6.25577083333333
"103",10.15,6.21795833333334
"104",10.25,6.24978723404255
"105",10.35,6.57404545454545
"106",10.45,6.3566
"107",10.55,6.16383333333333
"108",10.65,6.19470212765958
"109",10.75,6.09470212765958
"110",10.85,6.55941860465116
"111",10.95,7.86946511627907
"112",11.05,8.11790476190476
"113",11.15,8.07938636363637
"114",11.25,8.00375
"115",11.35,7.78268888888889
"116",11.45,7.52204255319149
"117",11.55,7.58360869565217
"118",11.65,8.29358333333334
"119",11.75,8.19358333333333
"120",11.85,8.09358333333333
"121",11.95,7.90630612244898
"122",12.05,8.87291489361702
"123",12.15,9.14395918367347
"124",12.25,9.57602
"125",12.35,9.49069230769231
"126",12.45,9.3013962264151
"127",12.55,10.0614038461538
"128",12.65,10.0550943396226
"129",12.75,9.78764814814815
"130",12.85,9.73988888888889
"131",12.95,9.85431481481482
"132",13.05,9.65254545454545
"133",13.15,9.84941071428572
"134",13.25,9.74941071428572
"135",13.35,10.0094444444444
"136",13.45,10.097358490566
"137",13.55,10.1810943396226
"138",13.65,10.0810943396226
"139",13.75,10.62704
"140",13.85,11.2031276595745
"141",13.95,11.0754583333333
"142",14.05,11.2102765957447
"143",14.15,10.8202040816327
"144",14.25,10.53176
"145",14.35,10.80478
"146",14.45,11.1004285714286
"147",14.55,11.2296666666667
"148",14.65,11.1296666666667
"149",14.75,11.0296666666667
"150",14.85,10.9296666666667
"151",14.95,10.56978
"152",15.05,10.82998
"153",15.15,11.10742
"154",15.25,11.00742
"155",15.35,10.90742
"156",15.45,11.4300192307692
"157",15.55,11.7429423076923
"158",15.65,11.8716666666667
"159",15.75,12.50322
"160",15.85,12.6567959183673
"161",15.95,13.0937872340426
"162",16.05,13.5740444444444
