"","X.1","X","age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","HMM.speciation.state","HMM.speciation.state.probability","HMM.extinction.state","HMM.extinction.state.probability","HMM.turnover.probability"
"96",96,97,48,79,64,143,632,617,0.125,0.103727714748784,0.228727714748784,2,0.132340772852894,6,0.0989071361694721,0.231247909022366
"97",97,98,48.5,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"98",98,99,49,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"99",99,100,49.5,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"100",100,101,50,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"101",101,102,50.5,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"102",102,103,51,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"103",103,104,51.5,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"104",104,105,52,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"105",105,106,52.5,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"106",106,107,53,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"107",107,108,53.5,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"108",108,109,54,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"109",109,110,54.5,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"110",110,111,55,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"111",111,112,55.5,0,0,0,617,617,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"112",112,113,56,90,46,136,617,573,0.145867098865478,0.0802792321116928,0.226146330977171,2,0.132340772852894,6,0.0989071361694721,0.231247909022366
"113",113,114,56.5,0,0,0,573,573,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"114",114,115,57,0,0,0,573,573,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"115",115,116,57.5,7,16,23,573,582,0.012216404886562,0.0274914089347079,0.0397078138212699,4,0.0269566795193272,3,0.0329385147723402,0.0598951942916675
"116",116,117,58,0,0,0,582,582,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"117",117,118,58.5,0,0,0,582,582,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"118",118,119,59,64,1,65,582,519,0.109965635738832,0.00192678227360308,0.111892418012435,2,0.132340772852894,7,0.00618799058653039,0.138528763439424
"119",119,120,59.5,0,0,0,519,519,0,0,0,6,0.000195223214584221,4,0,0.000195223214584221
"120",120,121,60,0,0,0,519,519,0,0,0,6,0.000195223214584221,2,5.15591926391112e-190,0.000195223214584221
"121",121,122,60.5,0,0,0,519,519,0,0,0,6,0.000195223214584221,2,5.15591926391112e-190,0.000195223214584221
"122",122,123,61,0,0,0,519,519,0,0,0,6,0.000195223214584221,2,5.15591926391112e-190,0.000195223214584221
"123",123,124,61.5,0,40,40,519,559,0,0.0715563506261181,0.0715563506261181,6,0.000195223214584221,6,0.0989071361694721,0.0991023593840563
"124",124,125,62,0,0,0,559,559,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"125",125,126,62.5,5,8,13,559,562,0.00894454382826476,0.0142348754448399,0.0231794192731046,4,0.0269566795193272,7,0.00618799058653039,0.0331446701058576
"126",126,127,63,0,0,0,562,562,0,0,0,3,7.02455010011378e-44,4,0,7.02455010011378e-44
"127",127,128,63.5,0,0,0,562,562,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"128",128,129,64,0,0,0,562,562,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"129",129,130,64.5,0,0,0,562,562,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"130",130,131,65,0,0,0,562,562,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"131",131,132,65.5,0,0,0,562,562,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"132",132,133,66,65,125,190,562,622,0.115658362989324,0.20096463022508,0.316622993214404,2,0.132340772852894,1,0.258493001811677,0.39083377466457
"133",133,134,66.5,0,0,0,622,622,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"134",134,135,67,0,0,0,622,622,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"135",135,136,67.5,29,41,70,622,634,0.0466237942122186,0.0646687697160883,0.111292563928307,5,0.0719591206446811,6,0.0989071361694721,0.170866256814153
"136",136,137,68,0,0,0,634,634,0,0,0,6,0.000195223214584221,8,0,0.000195223214584221
"137",137,138,68.5,0,0,0,634,634,0,0,0,6,0.000195223214584221,8,0,0.000195223214584221
"138",138,139,69,0,0,0,634,634,0,0,0,6,0.000195223214584221,8,0,0.000195223214584221
"139",139,140,69.5,0,0,0,634,634,0,0,0,6,0.000195223214584221,8,0,0.000195223214584221
"140",140,141,70,0,0,0,634,634,0,0,0,6,0.000195223214584221,8,0,0.000195223214584221
"141",141,142,70.5,18,0,18,634,616,0.028391167192429,0,0.028391167192429,4,0.0269566795193272,8,0,0.0269566795193272
"142",142,143,71,0,0,0,616,616,0,0,0,3,7.02455010011378e-44,8,0,7.02455010011378e-44
"143",143,144,71.5,0,0,0,616,616,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"144",144,145,72,55,61,116,616,622,0.0892857142857143,0.0980707395498392,0.187356453835554,5,0.0719591206446811,6,0.0989071361694721,0.170866256814153
"145",145,146,72.5,0,0,0,622,622,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"146",146,147,73,0,0,0,622,622,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"147",147,148,73.5,0,0,0,622,622,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"148",148,149,74,0,0,0,622,622,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"149",149,150,74.5,0,0,0,622,622,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"150",150,151,75,0,0,0,622,622,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"151",151,152,75.5,0,0,0,622,622,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"152",152,153,76,0,0,0,622,622,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"153",153,154,76.5,0,0,0,622,622,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"154",154,155,77,0,0,0,622,622,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"155",155,156,77.5,0,0,0,622,622,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"156",156,157,78,38,31,69,622,615,0.0610932475884244,0.0504065040650407,0.111499751653465,5,0.0719591206446811,3,0.0329385147723402,0.104897635417021
"157",157,158,78.5,0,0,0,615,615,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"158",158,159,79,0,0,0,615,615,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"159",159,160,79.5,0,0,0,615,615,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"160",160,161,80,0,0,0,615,615,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"161",161,162,80.5,0,0,0,615,615,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"162",162,163,81,0,0,0,615,615,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"163",163,164,81.5,0,0,0,615,615,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"164",164,165,82,0,0,0,615,615,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"165",165,166,82.5,0,0,0,615,615,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"166",166,167,83,0,0,0,615,615,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"167",167,168,83.5,72,32,104,615,575,0.117073170731707,0.0556521739130435,0.172725344644751,2,0.132340772852894,3,0.0329385147723402,0.165279287625234
"168",168,169,84,0,0,0,575,575,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"169",169,170,84.5,0,0,0,575,575,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"170",170,171,85,23,16,39,575,568,0.04,0.028169014084507,0.068169014084507,4,0.0269566795193272,3,0.0329385147723402,0.0598951942916675
"171",171,172,85.5,0,0,0,568,568,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"172",172,173,86,0,0,0,568,568,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"173",173,174,86.5,47,22,69,568,543,0.0827464788732394,0.0405156537753223,0.123262132648562,5,0.0719591206446811,3,0.0329385147723402,0.104897635417021
"174",174,175,87,0,0,0,543,543,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"175",175,176,87.5,0,0,0,543,543,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"176",176,177,88,10,4,14,543,537,0.0184162062615101,0.0074487895716946,0.0258649958332047,4,0.0269566795193272,7,0.00618799058653039,0.0331446701058576
"177",177,178,88.5,0,0,0,537,537,0,0,0,3,7.02455010011378e-44,4,0,7.02455010011378e-44
"178",178,179,89,0,0,0,537,537,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"179",179,180,89.5,0,0,0,537,537,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"180",180,181,90,40,44,84,537,541,0.074487895716946,0.0813308687615527,0.155818764478499,5,0.0719591206446811,6,0.0989071361694721,0.170866256814153
"181",181,182,90.5,0,0,0,541,541,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"182",182,183,91,0,0,0,541,541,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"183",183,184,91.5,0,13,13,541,554,0,0.0234657039711191,0.0234657039711191,6,0.000195223214584221,3,0.0329385147723402,0.0331337379869244
"184",184,185,92,19,13,32,554,548,0.0342960288808664,0.0237226277372263,0.0580186566180927,4,0.0269566795193272,3,0.0329385147723402,0.0598951942916675
"185",185,186,92.5,0,0,0,548,548,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"186",186,187,93,0,0,0,548,548,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"187",187,188,93.5,0,0,0,548,548,0,0,0,3,7.02455010011378e-44,2,5.15591926391112e-190,7.02455010011378e-44
"188",188,189,94,45,70,115,548,573,0.0821167883211679,0.12216404886562,0.204280837186787,5,0.0719591206446811,6,0.0989071361694721,0.170866256814153
"189",189,190,94.5,0,0,0,573,573,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"190",190,191,95,0,0,0,573,573,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"191",191,192,95.5,27,0,27,573,546,0.0471204188481675,0,0.0471204188481675,4,0.0269566795193272,5,4.03295753487198e-125,0.0269566795193272
"192",192,193,96,16,34,50,546,564,0.0293040293040293,0.0602836879432624,0.0895877172472917,4,0.0269566795193272,3,0.0329385147723402,0.0598951942916675
"193",193,194,96.5,0,0,0,564,564,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"194",194,195,97,0,0,0,564,564,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"195",195,196,97.5,0,0,0,564,564,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"196",196,197,98,0,0,0,564,564,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"197",197,198,98.5,0,0,0,564,564,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"198",198,199,99,0,0,0,564,564,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"199",199,200,99.5,0,2,2,564,566,0,0.00353356890459364,0.00353356890459364,3,7.02455010011378e-44,7,0.00618799058653039,0.00618799058653039
"200",200,201,100,0,0,0,566,566,0,0,0,3,7.02455010011378e-44,4,0,7.02455010011378e-44
"201",201,202,100.5,87,67,154,566,546,0.153710247349823,0.122710622710623,0.276420870060446,2,0.132340772852894,6,0.0989071361694721,0.231247909022366
"202",202,203,101,0,0,0,546,546,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"203",203,204,101.5,0,0,0,546,546,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"204",204,205,102,0,0,0,546,546,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"205",205,206,102.5,0,0,0,546,546,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"206",206,207,103,0,0,0,546,546,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"207",207,208,103.5,0,0,0,546,546,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"208",208,209,104,0,0,0,546,546,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"209",209,210,104.5,0,0,0,546,546,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"210",210,211,105,0,0,0,546,546,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"211",211,212,105.5,0,0,0,546,546,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"212",212,213,106,0,0,0,546,546,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"213",213,214,106.5,0,0,0,546,546,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"214",214,215,107,0,0,0,546,546,0,0,0,3,7.02455010011378e-44,5,4.03295753487198e-125,7.02455010011378e-44
"215",215,216,107.5,33,15,48,546,528,0.0604395604395604,0.0284090909090909,0.0888486513486513,5,0.0719591206446811,3,0.0329385147723402,0.104897635417021
"216",216,217,108,0,0,0,528,528,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"217",217,218,108.5,0,0,0,528,528,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
"218",218,219,109,0,0,0,528,528,0,0,0,6,0.000195223214584221,5,4.03295753487198e-125,0.000195223214584221
