"","age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability"
"126",62.5,5,8,13,559,562,0.00894454382826476,0.0142348754448399,0.0231794192731046
"127",63,0,0,0,562,562,0,0,0
"128",63.5,0,0,0,562,562,0,0,0
"129",64,0,0,0,562,562,0,0,0
"130",64.5,0,0,0,562,562,0,0,0
"131",65,0,0,0,562,562,0,0,0
"132",65.5,0,0,0,562,562,0,0,0
"133",66,65,125,190,562,622,0.115658362989324,0.20096463022508,0.316622993214404
"134",66.5,0,0,0,622,622,0,0,0
"135",67,0,0,0,622,622,0,0,0
