"","age","N.speciations","N.extinctions","N.turnover","N.species(speciation)","N.species(extinction)","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability"
"2",0.05,0,0,0,89,89,0,0,0
"3",0.1,0,0,0,89,89,0,0,0
"4",0.15,0,0,0,89,89,0,0,0
"5",0.2,0,0,0,89,89,0,0,0
"6",0.25,0,0,0,89,89,0,0,0
"7",0.3,0,0,0,89,89,0,0,0
"8",0.35,0,0,0,89,89,0,0,0
"9",0.4,0,0,0,89,89,0,0,0
"10",0.45,0,0,0,89,89,0,0,0
"11",0.5,0,0,0,89,89,0,0,0
"12",0.55,0,0,0,89,89,0,0,0
"13",0.6,0,0,0,89,89,0,0,0
"14",0.65,0,0,0,89,89,0,0,0
"15",0.7,0,0,0,89,89,0,0,0
"16",0.75,0,0,0,89,89,0,0,0
"17",0.8,0,0,0,89,89,0,0,0
"18",0.85,0,0,0,89,89,0,0,0
"19",0.9,2,3,5,89,90,0.0224719101123595,0.0333333333333333,0.0558052434456929
"20",0.95,0,0,0,90,90,0,0,0
"21",1,0,0,0,90,90,0,0,0
"22",1.05,0,0,0,90,90,0,0,0
"23",1.1,0,0,0,90,90,0,0,0
"24",1.15,0,0,0,90,90,0,0,0
"25",1.2,0,0,0,90,90,0,0,0
"26",1.25,0,0,0,90,90,0,0,0
"27",1.3,0,0,0,90,90,0,0,0
"28",1.35,0,0,0,90,90,0,0,0
"29",1.4,0,0,0,90,90,0,0,0
"30",1.45,0,0,0,90,90,0,0,0
"31",1.5,0,0,0,90,90,0,0,0
"32",1.55,0,0,0,90,90,0,0,0
"33",1.6,0,0,0,90,90,0,0,0
"34",1.65,0,0,0,90,90,0,0,0
"35",1.7,0,0,0,90,90,0,0,0
"36",1.75,3,0,3,90,87,0.0333333333333333,0,0.0333333333333333
"37",1.8,0,4,4,87,91,0,0.043956043956044,0.043956043956044
"38",1.85,0,0,0,91,91,0,0,0
"39",1.9,0,0,0,91,91,0,0,0
"40",1.95,0,0,0,91,91,0,0,0
"41",2,0,0,0,91,91,0,0,0
"42",2.05,0,0,0,91,91,0,0,0
"43",2.1,0,0,0,91,91,0,0,0
"44",2.15,0,0,0,91,91,0,0,0
"45",2.2,0,0,0,91,91,0,0,0
"46",2.25,0,0,0,91,91,0,0,0
"47",2.3,0,0,0,91,91,0,0,0
"48",2.35,0,0,0,91,91,0,0,0
"49",2.4,0,0,0,91,91,0,0,0
"50",2.45,0,0,0,91,91,0,0,0
"51",2.5,0,0,0,91,91,0,0,0
"52",2.55,0,0,0,91,91,0,0,0
"53",2.6,42,51,93,91,100,0.461538461538462,0.51,0.971538461538462
"54",2.65,0,0,0,100,100,0,0,0
"55",2.7,0,0,0,100,100,0,0,0
"56",2.75,0,0,0,100,100,0,0,0
"57",2.8,0,0,0,100,100,0,0,0
"58",2.85,0,0,0,100,100,0,0,0
"59",2.9,0,0,0,100,100,0,0,0
"60",2.95,0,0,0,100,100,0,0,0
"61",3,0,0,0,100,100,0,0,0
"62",3.05,0,0,0,100,100,0,0,0
"63",3.1,0,0,0,100,100,0,0,0
"64",3.15,0,0,0,100,100,0,0,0
"65",3.2,0,0,0,100,100,0,0,0
"66",3.25,0,0,0,100,100,0,0,0
"67",3.3,0,0,0,100,100,0,0,0
"68",3.35,0,0,0,100,100,0,0,0
"69",3.4,0,0,0,100,100,0,0,0
"70",3.45,0,0,0,100,100,0,0,0
"71",3.5,0,0,0,100,100,0,0,0
"72",3.55,0,0,0,100,100,0,0,0
"73",3.6,18,17,35,100,99,0.18,0.171717171717172,0.351717171717172
"74",3.65,0,0,0,99,99,0,0,0
"75",3.7,0,0,0,99,99,0,0,0
"76",3.75,0,0,0,99,99,0,0,0
"77",3.79999999999999,0,0,0,99,99,0,0,0
"78",3.84999999999999,0,0,0,99,99,0,0,0
"79",3.89999999999999,0,0,0,99,99,0,0,0
"80",3.94999999999999,0,0,0,99,99,0,0,0
"81",3.99999999999999,0,0,0,99,99,0,0,0
"82",4.04999999999999,0,0,0,99,99,0,0,0
"83",4.09999999999999,0,0,0,99,99,0,0,0
"84",4.14999999999999,0,0,0,99,99,0,0,0
"85",4.19999999999999,0,0,0,99,99,0,0,0
"86",4.24999999999999,0,0,0,99,99,0,0,0
