"","age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","HMM.speciation.state","HMM.speciation.state.probability","HMM.extinction.state","HMM.extinction.state.probability","HMM.turnover.probability"
"45",4.4,0,0,0,721,721,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"46",4.5,0,0,0,721,721,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"47",4.6,0,0,0,721,721,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"48",4.7,0,0,0,721,721,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"49",4.8,0,0,0,721,721,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"50",4.9,0,0,0,721,721,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"51",5,0,0,0,721,721,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"52",5.1,0,0,0,721,721,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"53",5.2,0,0,0,721,721,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"54",5.3,67,69,136,721,723,0.0929264909847434,0.0954356846473029,0.188362175632046,1,0.0949270629375426,3,0.089676509902248,0.184603572839791
"55",5.4,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"56",5.5,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"57",5.6,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"58",5.7,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"59",5.8,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"60",5.9,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"61",6,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"62",6.1,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"63",6.19999999999999,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"64",6.29999999999999,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"65",6.39999999999999,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"66",6.49999999999999,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"67",6.59999999999999,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"68",6.69999999999999,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"69",6.79999999999999,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"70",6.89999999999999,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"71",6.99999999999999,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"72",7.09999999999999,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"73",7.19999999999999,0,0,0,723,723,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"74",7.29999999999999,12,18,30,723,729,0.016597510373444,0.0246913580246914,0.0412888683981353,3,0.0113684239900045,2,0.0174456221354357,0.0288140461254402
"75",7.39999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"76",7.49999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"77",7.59999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"78",7.69999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"79",7.79999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"80",7.89999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"81",7.99999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"82",8.09999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"83",8.19999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"84",8.29999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"85",8.39999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"86",8.49999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"87",8.59999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"88",8.69999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"89",8.79999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"90",8.89999999999998,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"91",8.99999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"92",9.09999999999998,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"93",9.19999999999999,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"94",9.29999999999998,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"95",9.39999999999998,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"96",9.49999999999998,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
"97",9.59999999999998,0,0,0,729,729,0,0,0,2,2.36006985317871e-06,1,2.39177671123051e-06,4.75184656440923e-06
