"age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","existing_n","mean.lifespan"
"67",6.55,0,1,1,51,52,0,0.0192307692307692,0.0192307692307692,51,14.4588039215686
"68",6.65,0,0,0,52,52,0,0,0,52,14.3253076923077
"69",6.75,0,2,2,52,54,0,0.037037037037037,0.037037037037037,52,14.3253076923077
"70",6.85,0,3,3,54,57,0,0.0526315789473684,0.0526315789473684,54,14.1051481481481
"71",6.95,2,0,2,57,55,0.0350877192982456,0,0.0350877192982456,57,13.8427719298246
"72",7.05,0,1,1,55,56,0,0.0178571428571429,0.0178571428571429,55,14.0946
"73",7.15,1,0,1,56,55,0.0178571428571429,0,0.0178571428571429,56,14.0357678571429
"74",7.25,1,3,4,55,57,0.0181818181818182,0.0526315789473684,0.0708133971291866,55,14.1608181818182
"75",7.35,4,2,6,57,55,0.0701754385964912,0.0363636363636364,0.106539074960128,57,14.0071228070175
"76",7.45,0,1,1,55,56,0,0.0178571428571429,0.0178571428571429,55,14.2987090909091
"77",7.55,3,1,4,56,54,0.0535714285714286,0.0185185185185185,0.0720899470899471,56,14.1881785714286
"78",7.65,0,1,1,54,55,0,0.0181818181818182,0.0181818181818182,54,14.4462962962963
"79",7.75,0,0,0,55,55,0,0,0,55,14.4315818181818
"80",7.85,1,0,1,55,54,0.0181818181818182,0,0.0181818181818182,55,14.4315818181818
"81",7.95,1,1,2,54,54,0.0185185185185185,0.0185185185185185,0.037037037037037,54,14.5530925925926
"82",8.05,0,1,1,54,55,0,0.0181818181818182,0.0181818181818182,54,14.6197222222222
"83",8.15,2,1,3,55,54,0.0363636363636364,0.0185185185185185,0.0548821548821549,55,14.5559818181818
"84",8.25,9,0,9,54,45,0.166666666666667,0,0.166666666666667,54,14.7156111111111
"85",8.35,2,1,3,45,44,0.0444444444444444,0.0227272727272727,0.0671717171717172,45,16.0051555555556
"86",8.45,0,0,0,44,44,0,0,0,44,16.252
"87",8.55,0,2,2,44,46,0,0.0434782608695652,0.0434782608695652,44,16.252
"88",8.65,1,0,1,46,45,0.0217391304347826,0,0.0217391304347826,46,15.9785869565217
"89",8.75,5,0,5,45,40,0.111111111111111,0,0.111111111111111,45,16.141
"90",8.85,1,0,1,40,39,0.025,0,0.025,40,17.06285
"91",8.95,0,2,2,39,41,0,0.0487804878048781,0.0487804878048781,39,17.2723846153846
"92",9.05,1,0,1,41,40,0.024390243902439,0,0.024390243902439,41,16.8897073170732
"93",9.15,0,0,0,40,40,0,0,0,40,17.084575
"94",9.25,0,3,3,40,43,0,0.0697674418604651,0.0697674418604651,40,17.084575
"95",9.35,0,2,2,43,45,0,0.0444444444444444,0.0444444444444444,43,16.6656976744186
"96",9.45,0,0,0,45,45,0,0,0,45,16.3766
"97",9.55,0,1,1,45,46,0,0.0217391304347826,0.0217391304347826,45,16.3766
"98",9.65,1,5,6,46,50,0.0217391304347826,0.1,0.121739130434783,46,16.3670652173913
"99",9.75,3,1,4,50,48,0.06,0.0208333333333333,0.0808333333333333,50,15.93658
"100",9.85,1,1,2,48,48,0.0208333333333333,0.0208333333333333,0.0416666666666667,48,16.2206041666667
"101",9.95,0,0,0,48,48,0,0,0,48,16.2557708333333
"102",10.05,1,1,2,48,48,0.0208333333333333,0.0208333333333333,0.0416666666666667,48,16.2557708333333
"103",10.15,1,0,1,48,47,0.0208333333333333,0,0.0208333333333333,48,16.3179583333333
"104",10.25,3,0,3,47,44,0.0638297872340425,0,0.0638297872340425,47,16.4497872340426
"105",10.35,0,1,1,44,45,0,0.0222222222222222,0.0222222222222222,44,16.8740454545455
"106",10.45,0,3,3,45,48,0,0.0625,0.0625,45,16.7566
"107",10.55,1,0,1,48,47,0.0208333333333333,0,0.0208333333333333,48,16.6638333333333
"108",10.65,0,0,0,47,47,0,0,0,47,16.7947021276596
"109",10.75,4,0,4,47,43,0.0851063829787234,0,0.0851063829787234,47,16.7947021276596
"110",10.85,3,3,6,43,43,0.0697674418604651,0.0697674418604651,0.13953488372093,43,17.3594186046512
"111",10.95,3,2,5,43,42,0.0697674418604651,0.0476190476190476,0.117386489479513,43,18.7694651162791
"112",11.05,2,4,6,42,44,0.0476190476190476,0.0909090909090909,0.138528138528139,42,19.1179047619048
"113",11.15,1,1,2,44,44,0.0227272727272727,0.0227272727272727,0.0454545454545455,44,19.1793863636364
"114",11.25,0,1,1,44,45,0,0.0222222222222222,0.0222222222222222,44,19.20375
"115",11.35,0,2,2,45,47,0,0.0425531914893617,0.0425531914893617,45,19.0826888888889
"116",11.45,1,0,1,47,46,0.0212765957446809,0,0.0212765957446809,47,18.9220425531915
"117",11.55,4,6,10,46,48,0.0869565217391304,0.125,0.21195652173913,46,19.0836086956522
"118",11.65,0,0,0,48,48,0,0,0,48,19.8935833333333
"119",11.75,0,0,0,48,48,0,0,0,48,19.8935833333333
"120",11.85,0,1,1,48,49,0,0.0204081632653061,0.0204081632653061,48,19.8935833333333
"121",11.95,3,1,4,49,47,0.0612244897959184,0.0212765957446809,0.0825010855405992,49,19.806306122449
"122",12.05,0,2,2,47,49,0,0.0408163265306122,0.0408163265306122,47,20.872914893617
"123",12.15,1,2,3,49,50,0.0204081632653061,0.04,0.0604081632653061,49,21.2439591836735
"124",12.25,0,2,2,50,52,0,0.0384615384615385,0.0384615384615385,50,21.77602
"125",12.35,0,1,1,52,53,0,0.0188679245283019,0.0188679245283019,52,21.7906923076923
"126",12.45,2,1,3,53,52,0.0377358490566038,0.0192307692307692,0.056966618287373,53,21.7013962264151
"127",12.55,0,1,1,52,53,0,0.0188679245283019,0.0188679245283019,52,22.5614038461538
"128",12.65,0,1,1,53,54,0,0.0185185185185185,0.0185185185185185,53,22.6550943396226
"129",12.75,1,1,2,54,54,0.0185185185185185,0.0185185185185185,0.037037037037037,54,22.4876481481481
"130",12.85,1,1,2,54,54,0.0185185185185185,0.0185185185185185,0.037037037037037,54,22.5398888888889
"131",12.95,0,1,1,54,55,0,0.0181818181818182,0.0181818181818182,54,22.7543148148148
"132",13.05,3,4,7,55,56,0.0545454545454545,0.0714285714285714,0.125974025974026,55,22.6525454545455
"133",13.15,0,0,0,56,56,0,0,0,56,22.9494107142857
"134",13.25,2,0,2,56,54,0.0357142857142857,0,0.0357142857142857,56,22.9494107142857
"135",13.35,1,0,1,54,53,0.0185185185185185,0,0.0185185185185185,54,23.3094444444444
"136",13.45,3,3,6,53,53,0.0566037735849057,0.0566037735849057,0.113207547169811,53,23.497358490566
"137",13.55,0,0,0,53,53,0,0,0,53,23.6810943396226
"138",13.65,4,1,5,53,50,0.0754716981132075,0.02,0.0954716981132075,53,23.6810943396226
