"age","oxy18_sm"
0.422854679802956,3.52873563218391
1.48441643192488,3.20643192488263
2.4528325,2.9635
3.44815631067961,2.53747572815534
4.42377727272727,2.3919696969697
5.57697321428571,2.35625
6.46295357142857,2.32642857142857
7.41610285714286,2.31914285714286
8.493055,2.303
9.46143,2.20533333333333
10.4764272727273,2.22
11.530905,2.182
12.5933407407407,2.09703703703704
13.5074551724138,1.88310344827586
14.517721875,1.475625
15.4966651162791,1.34046511627907
16.4507,1.34973684210526
17.5008838709677,1.59
18.499415625,1.491875
19.5037155172414,1.57448275862069
20.4794842105263,1.48280701754386
21.5501820895522,1.35880597014925
22.541665625,1.53395833333333
23.5038539823009,1.37
24.4918023809524,1.29738095238095
25.4938717948718,1.4674358974359
26.4126365384615,1.76038461538462
27.4831875,1.87
28.55372,1.80485714285714
29.51915,1.6675
30.579419047619,1.76833333333333
31.5326507246377,1.65492753623188
32.4666568965517,1.72741379310345
33.4891127272727,1.84781818181818
34.423072,1.1508
35.43984375,1.05
36.6066621621622,0.816216216216216
37.2593615384615,0.785384615384615
38.52665,0.865
39.6589210526316,0.636315789473684
40.3746333333333,0.228809523809524
41.40889375,0.394375
42.5578,0.401111111111111
43.48955,0.32
44.5623833333333,0.258333333333333
45.4798428571429,0.235714285714286
46.40684,0.056
47.5600428571429,-0.228571428571429
48.4430714285714,-0.4
49.474475,-0.54875
50.416,-0.693333333333333
51.481325,-0.645
52.5073230769231,-0.611538461538462
53.5575615384615,-0.533846153846154
54.5516272727273,-0.337272727272727
55.7814976190476,-0.490476190476191
56.3477833333333,0.0783333333333333
57.5571,0.157142857142857
58.4491,0.235
59.4985,0.346666666666667
60.5663,0.26
61.6216333333333,0.196666666666667
62.3742,0.113333333333333
63.4435,0.146666666666667
64.41075,0.09
65.65703,0.000999999999999998
66.43004,0.372
67.5821333333333,0.34
68.5841285714286,0.461428571428571
69.5928222222222,0.486666666666667
70.4741857142857,0.557142857142857
