format version:	1.2
date:	12/6/2012

ACTINOPODA	:	ACANTHARIA (Tintinnia; skeletal rods made of strintium sulfate)	RADIOLARIA (intricate mineral skeletons with inner and outer portion)	_METACOLUMN_OFF

ACANTHARIA (Tintinnia; skeletal rods made of strintium sulfate)	:	Order unnamed ACANTHARIA 

Order unnamed ACANTHARIA 	event					[For details click <a href="http://tolweb.org/notes/?note_id=52">Order unnamed ACANTHARIA </a>]. Order not named. 
FAD
	Astrolithium	23.03
	Chiastolus	55.96
LAD
	Astrolithium, Chiastolus	0.00


RADIOLARIA (intricate mineral skeletons with inner and outer portion)	:	NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)	SPUMELLARIA (colonial, simple central capsule, no initial spicule)	ACTINOPODA - INCERTAE SEDIS	_METACOLUMN_ON

NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)	event				on	[For details click <a href="http://tolweb.org/notes/?note_id=51">NASSELLARIA (non-spherical internal skeleton with spines and connecting bars)</a>]. 
FAD
	Acrobotrys, Acrospyris, Adelocyrtis (Sethocapsa), Aegospyris, Antarctissa, Anthocyrtidium, Anthocyrtis, Anthocyrtoma, Anthospyris, Archicorys, Artocapsa, Artoperina, Artostrobium, Artostrobus, Bathropyramis, Bisphaerocephalina, Botryocampe, Botryocella, Botryocyrtis, Botryopyle, Botryostrobus, Brachiospyris, Callimitra, Cannobotrys, Carpocanarium, Carpocanistrum, Carpocanium, Centrobotrys, Cephalopyramis, Cinclopyramis, Cladospyris, Clathrocyclas, Clathrospyris, Conarchnium, Corocalyptra, Cornutella, Cortina, Cortiniscus, Cryptocapsa, Cryptocephalus, Cryptopora, Cycladophora, Cyclampterium, Cyrtocalpis, Cyrtocapsa, Dendrocircus, Dendrospyris, Desmospyris, Dicolocapsa, Dictyocephalus, Dictyomitra, Dictyophimus, Dictyopodium, Dictyospyris, Didymocyrtis, Dipodospyris, Dorcadospyris, Eucecryphalus, Eucoronis, Eucyrtidium, Eusyringium, Giraffospyris, Glycobtrys, Gorgospyris, Halicalyptra, Haliphormis, Helotholus, Hexaspyris, Lamprocyclas, Lamprocyrtis, Liriospyris, Lithobotrys, Lithocampe, Lithocarpium, Lithochytris, Lithomelissa, Lithomitra, Lithopera, Lithornithium, Lithostrobus, Lophoconus, Lophocorys, Lophocyrtis, Lophophaena, Lophospyris, Lychnocanium, Lychnodictyum, Microcubus, Mitracalpis, Neosemantis, Nephrospyris, Octotympanum, Patagospyris, Peromelissa, Phaenocalpis, Phaenoscenium, Phormocyrtis, Phormospyris, Phormostichoartus, Plagionium, Platybursa, Plectopyramis, Podocoronis, Pterocanium, Pterocodon, Pterocorys, Rhopalocanium, Semantrum, Sethochytris, Sethocyrtis, Sethopera, Sethopilium, Siphocampe, Siphocampium, Sphaerospyris, Spirocampe, Spirocyrtis, Stephaniscus, Stephanium, Stichocapsa, Stichocorys, Stichophormis, Tetraphormis, Tetrarrhabda, Theocalyptra, Theocampe, Theocapsa, Theoconus, Theocorys, Theocyrtis, Theopera, Theophormis, Tholospyris, Triacartus, Tricolocampe, Tricolocapsa, Tripilidium, Tripocalpis, Tripocyrtis, Tripodiscium, Tripodonium, Tripodospyris, Trissopilium, Tristylospyris, Urocyrtis, Zygocircus, Zygostephanus	0.00
	Holocryptocapsa, Salpingocapsa, Stylocapsa, Stylocryptocapsa, Syringium	2.59
	Acerahedrina, Acerocanium, Calocycletta, Marimoum, Siphostichartus, Tripodocyrtis	5.33
	Cyrtocapsella	7.25
	Carpocanopsis, Cyrtocapsella, Lychnocanoma, Spongomelissa, Tympanomma	11.63
	Artophormis	20.44
	Dictyoprora	28.09
	Bathrocalpis, Calocyclas, Lithocampana, Podocyrtis, Rhabdolithis, Theocotyle, Theocotylissa, Thyrsocyrtis, Velicucullus	33.89
	Lampterium, Sethodiscus	37.75
	Buryella, Calocycloma, Lamptonium	41.15
	Bekoma	47.84
	Myllocercion, Orbula	55.96
	Acanthocircus, Acidnomelos, Amphipyndax, Archaeodictyomitra, Calyptocoryphe, Cornutovum, Cryptamphorella, Ectonocorys, Eribotrys, Gongylothorax, Hemicryptocapsa, Kassina, Rhopalosyringium, Sciadiocapsa, Solenotryma, Stichomitra, Xitus	66.04
	Alievium	67.50
	Diacanthocapsa, Eostichomitra, Foremanina, Heliocryptocapsa, Homeoarchicorys, Krempelinella, Pseudotheocampe, Schadelfussdlerus, Schaumellus	72.05
	Confiroma, Holocrytocanium, Immersothorax, Neosciadiocapsa, Protostichocapsa, Vistularia	78.10
	Microsciadiocapsa, Scyphiforma, Squinabolella	86.26
	Ultranapora	91.84
	Obesacapsula, Petasiforma, Pseudodictyomitra, Rotaforma, Spongocapsula, Thanarla	93.90
	Cassideus, Ewingella, Lipmanium, Napora	96.24
	Birkenmajeria, Podobursa, Stichocampe	100.50
	Eucyrtis, Ristola	112.95
	Crolanium, Dibolachras	119.63
	Syringocapsa, Zhamoidellum	126.30
	Mirifusus	130.77
	Hsuum, Parvicingula	133.09
